,Nome,Idade,Cidade,Orgao1,Demanda1,Orgao2,Demanda2
1,Dr. Davi Gomes,50,"Viela Pires, 3
Salgado Filho
99242470 Cunha das Pedras / RS",cinep,Concessão de Incentivo Fiscal a Empresas,sudema,Licença por Adesão e Compromisso
2,Dr. José Casa Grande,47,"Praia Zoe Cirino, 818
Liberdade
40528637 Barros das Flores / SC",funade,Aquisição da Carteira de Passe Livre Intermunicipal,cinep,Concessão de Incentivo Fiscal a Empresas
3,Marcelo Ramos,19,"Lago Correia, 42
São Sebastião
99995-023 da Mata de Ribeiro / PE",sudema,Licença por Adesão e Compromisso,cagepa,ATUALIZAÇÃO CADASTRAL
4,Eloá Macedo,41,"Fazenda Câmara, 46
Jardim Montanhês
32037899 Silva / SE",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,funade,Aquisição da Carteira de Passe Livre Intermunicipal
5,Natália das Neves,20,"Estrada Lucas Gabriel Silveira, 78
Jardim Atlântico
84843-195 Araújo dos Dourados / GO",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),funade,Serviço Especializado em Triagem e Diagnóstico
6,Luísa Borges,31,"Trevo Maria Liz Câmara, 5
Prado
02155616 Teixeira de Fernandes / RN",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cinep,Concessão de Incentivo Locacional a Empresas
7,Henry Nascimento,20,"Vila Benicio Ribeiro, 71
Venda Nova
80728496 Marques do Oeste / PR",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
8,Helena Siqueira,23,"Praça Mariane Nascimento
Maria Virgínia
07685102 Sá / AM",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
9,Lorenzo Freitas,40,"Passarela Rezende
Nova Esperança
09090168 Nascimento / PE",detran,RENOVAÇÃO DA CNH SIMPLES,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
10,Eloá Brito,37,"Esplanada de Melo, 94
Conjunto Califórnia Ii
28109-163 Albuquerque / DF",funade,Serviço de Informação ao Cidadão,cbmpb,Socorro de Emergências
